"ID","UNIT_ID","UNIT_NAME","PROJECT_ID","PROJECT_NAME","ORIGIN_ID","ORIGIN_NAME","TIMESTAMP","START_TIME","STOP_TIME","STEP_DURATION","STEP_INFO","PROCESS_ID","PROCESS_NAME","STEP_INDEX","STEP_RANK","COMPOSITE_STEP_STRUCTURE_IDS","COMPOSITE_STEP_STRUCTURE","TASK_ID","TASK_NAME","ERROR_COUNT","TARGET_ID","TARGET_NAME","TARGET_TYPE","TARGET_ACTION_TYPE","USER_ID","USER_NAME","EXPERIENCE_LEVEL"
"16","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-142602882","Place Object CoverRight","2023-04-26 16:53:08.685443","26/04/2023 16:53:05","26/04/2023 16:53:08","2828.3077","","1519498853788940211","Light Switch Assembly","6","6","1802834335914634763; 1592221329674637623","Light Switch Assembly; AssemblyCover","1802834335914634763","Light Switch Assembly","0","-1709143749061898623","CoverRight","OBJECT","OBJECT_PLACING","4587497684412433788","Admin","1"
"17","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-1045097915","Grab material WhiteButtons","2023-04-26 16:53:13.520665","26/04/2023 16:53:08","26/04/2023 16:53:13","4833.714","","1519498853788940211","Light Switch Assembly","7","7","1802834335914634763; 2449364416602761589","Light Switch Assembly; AssemblyButton","1802834335914634763","Light Switch Assembly","0","3439103792223907264","WhiteButtons","MATERIAL","MATERIAL_GRAB","4587497684412433788","Admin","1"
"18","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","895557497","Place Object ButtonWhiteRight","2023-04-26 16:53:15.1272523","26/04/2023 16:53:13","26/04/2023 16:53:15","1601.5735","","1519498853788940211","Light Switch Assembly","8","8","1802834335914634763; 2449364416602761589","Light Switch Assembly; AssemblyButton","1802834335914634763","Light Switch Assembly","0","6401497573791271088","ButtonWhiteRight","OBJECT","OBJECT_PLACING","4587497684412433788","Admin","1"
"19","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","1833070550","Take Object ButtonWhiteRight","2023-04-26 16:53:17.520481","26/04/2023 16:53:15","26/04/2023 16:53:17","2391.2229","","1519498853788940211","Light Switch Assembly","9","9","1802834335914634763; 8240993139227157201","Light Switch Assembly; Reset","1802834335914634763","Light Switch Assembly","0","6401497573791271088","ButtonWhiteRight","OBJECT","OBJECT_TAKING","4587497684412433788","Admin","1"
"20","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-1425314259","Restart (Reset+Play) Light Switch Assembly","2023-04-26 16:53:17.520481","26/04/2023 16:53:17","26/04/2023 16:53:17","0","","1519498853788940211","Light Switch Assembly","10","10","1802834335914634763; 8240993139227157201","Light Switch Assembly; Reset","1802834335914634763","Light Switch Assembly","0","","","","","4587497684412433788","Admin","1"
"21","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-1062092659","PickBasePlate","2023-04-26 16:53:25.1219234","26/04/2023 16:53:17","26/04/2023 16:53:25","7579.7362","","1519498853788940211","Light Switch Assembly","1","1","1802834335914634763; -4768918264913313276","Light Switch Assembly; AssemblyBasePlate","1802834335914634763","Light Switch Assembly","0","982673379971867040","Tray_BasePlate","VIRTUAL_BUTTON","VIRTUAL_BUTTON_PRESS","4587497684412433788","Admin","1"
"22","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-400761393","Place Object BasePlateRight","2023-04-26 16:53:30.3908794","26/04/2023 16:53:25","26/04/2023 16:53:30","5267.4422","","1519498853788940211","Light Switch Assembly","2","2","1802834335914634763; -4768918264913313276","Light Switch Assembly; AssemblyBasePlate","1802834335914634763","Light Switch Assembly","0","5042184538292354428","BasePlateRight","OBJECT","OBJECT_PLACING","4587497684412433788","Admin","1"
"23","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","455428140","PickPCB","2023-04-26 16:53:33.8226597","26/04/2023 16:53:30","26/04/2023 16:53:33","3431.2692","","1519498853788940211","Light Switch Assembly","3","3","1802834335914634763; 1773157767772184980","Light Switch Assembly; AssemblyPCB","1802834335914634763","Light Switch Assembly","0","-4862639818172077135","PCB (2)","MATERIAL","MATERIAL_GRAB","4587497684412433788","Admin","1"
"24","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-769842170","Place Object PCBRight","2023-04-26 16:53:34.6534216","26/04/2023 16:53:33","26/04/2023 16:53:34","830.2606","","1519498853788940211","Light Switch Assembly","4","4","1802834335914634763; 1773157767772184980","Light Switch Assembly; AssemblyPCB","1802834335914634763","Light Switch Assembly","0","-2324833245701960368","PCBRight","OBJECT","OBJECT_PLACING","4587497684412433788","Admin","1"
"25","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","408708770","Grab material Cover","2023-04-26 16:53:39.7536849","26/04/2023 16:53:34","26/04/2023 16:53:39","5096.5757","","1519498853788940211","Light Switch Assembly","5","5","1802834335914634763; 1592221329674637623","Light Switch Assembly; AssemblyCover","1802834335914634763","Light Switch Assembly","0","3258333247702727490","Cover","MATERIAL","MATERIAL_GRAB","4587497684412433788","Admin","1"
